sha256,kept_image_id,kept_source_dataset,kept_source_relative_path,discarded_source_dataset,discarded_source_relative_path,discarded_source_filename
6778db38ac3d60154db2fdae51e9dfefa44f92b1a29cdd53b549e6574e5001ba,img_00001253,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0208.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0208.jpg,COLT+WOODSMAN+pistol_0208.jpg
28ae574c3f1e8d7999a2cb210da91e3f4b068b95a5d72bb698560173e4676fc4,img_00001254,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0216.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0216.jpg,COLT+WOODSMAN+pistol_0216.jpg
ecffd3d8fbd71af9910fc3c45dd86c2862ed55ed6360b81ab5cf9ed50d7711b9,img_00001255,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0218.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0218.jpg,COLT+WOODSMAN+pistol_0218.jpg
5ac9d542c6fd6e4b5f0a00c46d2a2d93a3888955eb2f090a41de676c9123e3a7,img_00001256,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0219.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0219.jpg,COLT+WOODSMAN+pistol_0219.jpg
d8347b8191b7931a6fae6061596cadbbb28b7aca77d5a332a6a42fc3f8cedeed,img_00001257,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0221.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0221.jpg,COLT+WOODSMAN+pistol_0221.jpg
952da0596bd8198e11d95de50c51cb831ad88a7fcf74a08aeaed743745df4a67,img_00001258,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0223.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0223.jpg,COLT+WOODSMAN+pistol_0223.jpg
d8a17ad5934dbfb883e1f813a2f11632a8992798d3913b5b65c2c3b7ac642974,img_00001259,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0226.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0226.jpg,COLT+WOODSMAN+pistol_0226.jpg
0827ac9c06b2141195da1bf6e1f7995a22818cdcc0f5fa081eaf18f524c1232f,img_00001260,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0229.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0229.jpg,COLT+WOODSMAN+pistol_0229.jpg
31cdf5ad1c543329927a7058043fc8c96eca1316506a21dac01e52d5de04f8f3,img_00001261,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0232.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0232.jpg,COLT+WOODSMAN+pistol_0232.jpg
427de71204f87b1f60c00a45908d68974b3f322bfc802e134d2ff908e527132d,img_00001262,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0242.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0242.jpg,COLT+WOODSMAN+pistol_0242.jpg
