source_group,source_dataset,source_relative_path,source_filename,reason
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0050.jpg,Brown+Bess+musket_0050.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0060.jpg,Brown+Bess+musket_0060.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0117.jpg,Brown+Bess+musket_0117.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0122.jpg,Brown+Bess+musket_0122.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0129.jpg,Brown+Bess+musket_0129.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0145.jpg,Brown+Bess+musket_0145.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0151.jpg,Brown+Bess+musket_0151.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0157.jpg,Brown+Bess+musket_0157.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0163.jpg,Brown+Bess+musket_0163.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0169.jpg,Brown+Bess+musket_0169.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0173.jpg,Brown+Bess+musket_0173.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0186.jpg,Brown+Bess+musket_0186.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0204.jpg,Brown+Bess+musket_0204.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0220.jpg,Brown+Bess+musket_0220.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0235.jpg,Brown+Bess+musket_0235.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0247.jpg,Brown+Bess+musket_0247.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0250.jpg,Brown+Bess+musket_0250.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0271.jpg,Brown+Bess+musket_0271.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0286.jpg,Brown+Bess+musket_0286.jpg,below_min_size
deepfirearm,02_deepfirearm,subset_choosen/Brown+Bess+musket/Brown+Bess+musket_0306.jpg,Brown+Bess+musket_0306.jpg,below_min_size
